#Frame      Mode1    Mode2    Mode3
     360   11.664   -3.083  -24.949
     361   10.082   -9.464  -28.218
     362   13.230   -9.289  -23.990
     363   15.818   -8.784  -31.118
     364   15.198  -12.699  -28.447
     365   15.409  -12.091  -23.807
     366   13.673  -15.163  -19.357
     367   11.758  -13.679  -20.601
     368   17.694  -11.899  -20.095
     369   15.551  -14.306  -23.593
     370   17.508  -10.384  -26.729
     371   19.893   -5.255  -27.256
     372   21.571   -4.783  -29.835
     373   19.911    3.195  -32.019
     374   23.989   -0.861  -36.761
     375   27.222    4.082  -25.488
     376   20.673   -3.439  -27.713
     377   26.086    5.678  -30.772
     378   25.505    4.646  -27.547
     379   26.980    6.368  -30.215
     380   29.329    6.007  -28.065
     381   29.987    6.671  -26.366
     382   29.192    3.897  -24.959
     383   29.453    7.115  -26.595
     384   25.648    2.444  -30.104
     385   26.640    1.894  -24.857
     386   26.024    1.487  -26.835
     387   28.141    1.620  -26.260
     388   29.474    5.101  -28.387
     389   28.738    4.564  -28.660
     390   28.315    8.957  -28.982
     391   24.437    5.304  -29.376
     392   20.763   -1.312  -22.350
     393   21.702   -0.514  -26.165
     394   23.899    1.775  -24.714
     395   29.267    5.973  -34.015
     396   27.777    8.720  -33.297
     397   22.920    4.465  -30.644
     398   23.767    8.569  -33.905
     399   22.121    5.678  -31.383
     400   20.088    3.352  -29.095
     401   21.338    2.145  -24.668
     402   20.124    0.394  -25.783
     403   28.111    2.970  -27.721
     404   22.307    0.733  -21.851
     405   23.298   -0.721  -25.296
     406   24.722    1.279  -30.215
     407   21.287   -2.403  -27.498
     408   17.798   -3.842  -21.613
     409   19.045    0.129  -19.359
     410   17.737   -3.684  -18.196
     411   20.122   -7.183  -17.515
     412   23.771   -7.803  -15.001
     413   23.135   -7.717  -21.434
     414   25.283   -7.872  -15.501
     415   21.105   -9.358  -12.546
     416   23.401   -6.954  -10.971
     417   25.509   -1.928  -16.993
     418   26.141   -6.484  -23.360
     419   25.867   -6.822  -21.388
     420   24.936   -6.074  -19.963
     421   25.818   -6.512  -15.856
     422   22.661   -4.528  -21.196
     423   25.538   -3.150  -24.463
     424   26.385   -0.737  -25.515
     425   22.720    3.753  -23.134
     426   18.749   -3.891  -28.281
     427   18.974    3.155  -27.277
     428   20.906   -0.619  -25.067
     429   20.412    0.985  -26.612
     430   21.967   -0.004  -18.599
     431   20.402    0.036  -23.418
     432   23.353    0.588  -23.530
     433   17.182   -6.470  -19.947
     434   15.126  -10.871  -22.659
     435   13.405  -12.879  -22.405
     436   13.180  -11.352  -18.791
     437   16.367  -11.158  -20.878
     438   20.384   -9.334  -23.614
     439   21.707   -6.758  -24.235
     440   20.379   -9.469  -20.598
     441   18.143   -5.027  -19.518
     442   17.566   -8.533  -22.062
     443   18.013   -5.589  -20.112
     444   14.407   -9.755  -16.801
     445   13.129  -11.141  -16.141
     446   13.391  -13.796  -17.106
     447   15.934   -9.053  -20.446
     448   14.691   -8.840  -22.727
     449   15.927   -8.282  -18.271
     450   18.159  -12.124  -16.114
     451   19.222   -8.820  -21.189
     452   20.268   -6.676  -30.274
     453   17.921   -9.794  -22.336
     454   16.438   -3.338  -30.256
     455   19.029    0.668  -26.861
     456   19.635   -2.911  -30.246
     457   16.081   -5.698  -33.268
     458   11.795   -4.239  -33.801
     459   17.341   -1.835  -32.928
     460   19.941   -2.240  -28.761
     461   19.381   -5.871  -30.376
     462   19.915   -4.240  -32.730
     463   18.955   -0.601  -27.939
     464   20.892   -2.515  -29.659
     465   18.220   -7.359  -28.684
