#Frame        chi1:32      chi2:32      chi3:32
     222    -168.6257     103.9259     173.9689
     223    -173.9068      37.0588     -85.1427
     224     169.7118      67.1271     -65.5495
     225    -177.2869      41.5841     -82.2797
     226     172.7400      92.6343    -134.1292
     227    -179.2295      68.4326     -88.4536
     228    -178.5448      47.6632     -90.3411
     229    -156.7412      50.8741     -89.1835
     230    -179.6067      58.4991     -83.5205
     231     176.7174      90.6994    -128.1551
     232    -170.8027      89.5799    -134.6716
     233    -178.5118      46.3043     -86.9749
     234    -161.2481      57.3932    -115.0179
     235    -147.2987      46.6777     -94.2249
     236    -159.1281      66.9216    -127.0789
     237    -154.1001      45.1832    -107.7834
     238    -162.0548      67.6006    -112.9649
     239    -173.0747      57.0182     -93.3905
     240    -170.1246      63.7248    -147.8349
     241    -161.0282      58.2383     -94.1283
     242    -163.7547      49.6666     -87.1408
     243    -168.4728      43.1292     -82.3584
     244    -178.5487      51.0091     -95.9600
     245    -173.9219      57.1842     -98.7715
     246    -156.3313      71.9929    -108.1909
     247    -155.3855      54.2626     -99.0619
     248    -169.8450      73.8896     -69.8159
     249    -160.6904      73.1527    -104.2338
     250    -166.9462      82.3462    -100.4049
     251    -166.0797      68.6875    -110.5242
     252    -163.4282      53.2101    -121.7258
     253    -158.1596      42.8674     -85.6343
     254    -166.6971      44.8537    -103.2304
     255    -174.0737      92.3580    -122.8745
     256     172.1658     104.3471    -122.6145
     257    -178.0883      67.7725    -114.1135
     258     177.1229      58.9856    -103.6309
     259    -169.1641      81.5823     -89.8968
     260    -155.1622      70.4574    -116.2039
     261    -169.4892      61.8555    -123.8468
     262    -171.5173      54.6024     -85.4667
     263    -168.8751      50.5127    -115.1410
     264    -176.8164      54.7605     -88.7449
     265    -178.2670      63.0436     -92.9174
     266    -170.3143      77.1126    -116.2583
     267    -153.2506      60.5959    -118.6893
     268    -170.1986      79.3594     -99.5733
     269    -174.0384      84.5238     -94.2742
     270    -163.6477      78.3336    -130.0262
     271    -176.3121      55.4478     -63.3163
     272    -175.6153      71.6543     -79.1494
     273    -172.3319      52.3019     -77.6075
     274     178.3316      54.0840     -72.0314
     275    -149.0990      55.4496    -105.4567
     276    -171.0111      48.0127    -107.9518
     277    -161.6716      63.8378    -109.5982
     278    -158.4850      61.4021    -101.5804
     279    -171.2501      77.2181    -112.2110
     280    -161.5105      71.3419    -143.1197
     281    -153.6752      81.5375    -143.2214
     282    -178.4114      70.7458     -79.6165
     283    -171.4152      50.0942    -167.0601
     284     162.2868      51.1283    -133.8936
     285     170.0933      32.1773    -159.5278
     286     -66.8430     -81.2543     -91.0935
     287     -71.0917     -77.8377    -164.7868
     288     -62.2248     -72.4426     173.5493
     289     -62.8548     -73.3512    -175.0480
     290     -65.2085     -56.5070     177.1697
     291     -72.4704     -75.4550     157.0473
     292     -72.9656     -79.8420     166.3855
     293     -67.0264     -73.0606     158.4055
     294     -93.8335     -57.4663     155.5121
     295     -64.8447     -67.0910     153.1842
     296     -79.9829     -51.2444     156.7260
     297     -56.3305     -72.8080     158.1902
     298     -39.5280     -85.0726    -176.1834
     299     -47.0721     -55.6615     139.6257
     300     -60.6751     -52.8273     150.5159
     301     -66.4808     -61.3841     129.9499
     302     -59.4177     -55.5864     144.8524
     303     -53.5456     -59.3514     149.6510
     304     -55.9195     -63.5905     152.6899
     305     -60.2138     -72.9479     126.5882
     306     -57.4750     -41.8637     139.5927
     307     -61.8306     -56.9536     161.9355
     308     -68.5171     -67.1826     150.0460
     309     -54.6575     -57.7041     138.0302
     310     -56.1636     -69.8279    -169.7576
     311     -72.0530     -54.3296     155.5799
     312     -69.0131     -64.4469     164.4800
     313     -77.4831     -66.7007     134.7346
     314     -65.3136     -56.3268     152.7270
     315     -69.9259     -78.4690    -172.9835
     316     -66.9548     -81.1306     151.2557
