#Frame      Mode1    Mode2    Mode3
     413  146.390    1.403   23.204
     414  153.236   -1.053   19.159
     415  159.757    2.350   23.489
     416  162.539   10.281   20.721
     417  155.867    3.106   19.954
     418  148.680    1.651   13.592
     419  148.491   -0.214   15.755
     420  150.347   -2.346   19.185
     421  149.401    3.145   17.490
     422  156.461    3.376   15.081
     423  150.719   -1.345   15.876
     424  150.179    3.556   11.990
     425  149.646    7.154   11.791
     426  147.683    3.972    9.535
     427  148.952    5.188   13.979
     428  156.139    8.964   15.509
     429  160.829   10.904   12.721
     430  156.809   17.118   17.585
     431  157.130   14.717   18.835
     432  150.705    9.875   11.493
     433  150.117    5.044   20.477
     434  151.823    6.141   13.077
     435  149.009    5.654   14.222
     436  140.066    6.185   16.018
     437  136.500    7.056   17.073
     438  140.362   10.519   18.099
     439  139.672    6.648   19.561
     440  142.091    6.959   20.818
     441  139.910    8.922   19.166
     442  143.490    6.914   24.998
     443  140.521    7.635   29.004
     444  146.218    4.595   20.594
     445  141.858    1.982   19.344
     446  141.648    1.770   20.382
     447  143.388    0.806   27.682
     448  143.590    4.645   21.477
     449  134.006    2.035   20.432
     450  132.129    6.982   23.131
     451  130.924   10.300   18.052
     452  129.470   10.785   16.576
     453  128.890    9.134   23.440
     454  131.543    6.176   21.742
     455  131.962    6.574   18.239
     456  127.535    6.798   19.019
     457  133.893    3.830   26.397
     458  129.337    8.380   19.995
     459  127.531    3.784   23.233
     460  129.753    3.463   20.654
     461  132.477    1.138   20.660
     462  136.157    2.513   22.732
     463  133.160    2.425   27.024
     464  137.105    4.923   23.469
     465  134.699    2.819   21.561
     466  136.028    2.261   25.677
     467  141.370   -4.855   18.334
     468  141.680   -0.515   18.723
     469  138.995   -2.519   21.857
     470  141.536   -4.912   22.788
     471  140.116   -2.475   30.469
     472  140.471    2.293   29.120
     473  142.680    2.342   30.173
     474  140.159   -3.670   28.181
     475  139.075   -0.775   29.479
     476  145.172   -2.149   33.569
     477  141.065   -0.773   31.734
     478  140.400    0.789   32.805
     479  138.020   -2.043   33.768
     480  137.741   -4.751   34.049
     481  141.309    1.824   28.126
     482  136.276    2.184   32.289
     483  137.765   -6.462   29.456
     484  133.764   -3.555   26.625
     485  142.735   -3.181   28.866
     486  133.048   -4.082   20.168
     487  128.740   -4.831   25.024
     488  132.353   -2.147   24.643
     489  126.291   -1.732   28.637
     490  126.507   -5.523   30.160
     491  123.162   -3.560   28.027
     492  128.014  -10.908   28.608
     493  128.253  -12.230   31.213
     494  123.666   -4.968   21.981
     495  121.888   -3.108   26.256
     496  124.893   -5.134   19.516
     497  124.938  -10.923   21.698
     498  123.592   -9.117   20.221
     499  126.872   -2.388   23.237
     500  127.700   -0.368   20.289
     501  127.742   -8.217   19.590
     502  126.503   -9.048   21.710
     503  127.321   -9.647   25.077
     504  127.710   -5.138   25.248
     505  131.684   -4.902   24.425
     506  130.345    0.150   24.921
     507  136.363   -4.337   26.531
     508  133.258    0.424   29.768
     509  130.984   -4.630   30.507
     510  133.424   -4.801   25.848
     511  133.181    2.618   25.749
     512  135.297   -1.101   26.067
     513  133.809   -0.570   24.156
     514  137.198   -6.201   27.524
     515  132.064   -4.056   26.961
     516  141.086   -2.438   26.594
     517  144.434   -2.797   31.728
     518  137.474   -0.688   24.184
     519  137.274    0.461   29.513
     520  143.951    6.675   26.314
     521  146.251   -3.009   27.442
     522  146.943   -6.461   25.807
     523  150.872   -2.521   33.374
     524  154.201   -7.732   30.048
     525  150.696   -3.058   26.204
     526  149.965   -4.703   30.611
     527  149.798   -5.882   26.012
     528  147.733   -6.479   27.224
     529  148.629   -6.896   21.324
     530  143.352  -14.171   31.076
     531  136.103  -15.947   27.772
     532  138.772  -17.770   31.594
     533  137.742  -20.166   28.994
     534  137.992  -21.086   26.032
     535  140.502  -16.356   29.094
     536  139.047  -18.152   27.379
     537  138.205  -14.274   26.071
     538  135.929  -11.230   30.327
     539  135.459   -5.133   30.995
     540  135.456   -7.559   38.624
     541  127.556   -3.849   39.196
     542  128.349   -1.218   36.664
     543  126.056    2.761   29.345
     544  128.438    5.081   28.283
     545  129.460    3.890   28.222
     546  125.733    6.123   28.652
     547  126.611    2.490   24.815
     548  123.137    5.478   24.306
     549  124.483    6.194   21.908
     550  129.806    5.216   27.063
     551  130.192   -2.778   26.091
     552  129.438    1.358   27.532
     553  132.158    0.112   36.411
     554  130.054   -5.026   33.946
     555  133.000   -9.307   31.632
     556  133.753   -9.167   29.322
     557  132.627  -12.356   36.240
     558  133.539   -4.898   38.504
     559  129.054   -1.390   41.718
     560  131.151   -3.683   33.034
     561  133.850   -4.539   30.695
     562  138.460   -6.761   32.869
     563  133.765   -5.275   32.026
     564  137.697   -9.031   30.619
     565  137.830   -8.345   36.624
     566  134.032  -11.734   37.084
     567  137.971  -12.549   37.281
     568  137.641   -7.683   38.771
     569  133.650  -11.791   38.024
     570  132.053   -3.522   36.717
     571  131.070   -9.763   36.394
     572  134.636   -9.555   34.144
     573  136.226  -16.784   31.078
     574  127.490  -19.681   30.183
     575  131.869  -12.218   30.965
     576  127.952  -13.547   23.998
     577  132.292  -15.890   30.247
     578  135.841  -10.471   37.812
     579  139.158  -11.578   38.669
     580  139.508  -11.352   40.572
     581  136.748  -15.034   38.288
     582  139.779  -15.957   36.577
     583  141.611  -13.723   42.189
     584  143.021  -12.519   41.153
     585  148.185  -15.045   42.340
     586  142.712  -21.860   34.214
     587  145.094  -20.854   40.736
     588  142.181  -24.451   37.627
     589  139.364  -19.092   34.166
     590  142.329  -15.558   36.587
     591  139.882  -19.317   32.855
     592  136.616  -12.837   34.745
     593  143.279  -11.247   36.620
     594  140.901  -10.027   31.133
     595  146.068  -13.998   27.047
     596  140.636  -14.272   27.148
     597  144.967   -7.141   35.611
     598  136.268   -9.521   28.665
     599  138.334   -5.503   23.697
     600  142.054   -4.135   25.686
     601  142.647   -3.147   22.603
     602  141.090    0.014   26.443
     603  144.983    4.653   34.002
     604  143.513   -4.187   27.330
     605  143.547   -9.274   28.612
     606  144.694   -5.743   31.386
     607  142.162  -10.435   25.932
     608  135.433  -10.168   25.472
     609  137.643   -8.936   28.367
     610  139.912   -8.623   29.371
     611  141.179   -7.064   33.992
     612  143.020  -12.313   32.710
     613  149.387   -5.958   30.141
     614  144.496   -9.729   30.921
     615  151.933   -6.912   32.485
     616  147.634   -9.560   30.200
     617  141.923   -8.740   27.092
     618  146.027   -5.272   24.041
     619  146.606   -5.160   23.876
     620  148.018   -7.916   27.202
     621  146.456   -6.772   26.171
     622  142.219   -7.740   26.335
     623  143.639   -7.105   25.902
     624  150.649   -5.714   29.565
     625  143.950   -9.479   29.475
     626  140.014  -11.652   26.745
     627  135.675   -4.802   26.296
     628  139.500   -5.781   28.839
     629  146.010   -5.511   28.968
     630  145.655   -5.005   28.497
     631  146.673   -4.121   30.210
     632  144.577   -3.134   29.475
     633  148.615   -8.823   26.873
     634  145.085  -14.129   27.469
     635  144.595  -15.221   34.119
     636  146.103   -9.461   32.762
     637  145.154   -9.067   34.890
     638  144.400   -8.119   38.994
     639  148.196   -7.826   38.626
     640  141.262   -8.360   38.778
     641  143.246   -4.443   36.974
     642  142.633   -9.170   34.871
     643  141.747  -10.717   36.830
     644  144.430  -11.265   33.536
     645  147.132  -14.325   43.779
     646  145.901   -8.628   43.798
     647  149.081   -8.243   40.294
     648  146.054   -9.777   39.198
     649  149.662  -15.760   41.154
     650  151.701   -7.178   36.745
     651  157.848   -6.175   39.568
     652  150.346  -10.571   35.908
     653  151.724  -11.264   42.012
     654  150.643  -11.090   36.879
     655  148.717   -6.362   40.140
     656  148.948   -5.838   40.179
     657  152.711   -8.524   38.061
     658  145.872   -9.073   33.150
     659  150.216   -5.587   44.540
     660  147.326  -10.009   44.731
     661  144.729  -10.659   46.888
     662  148.416   -8.940   45.290
     663  146.314  -14.372   37.749
     664  143.228  -17.314   32.757
     665  142.371  -16.639   36.545
     666  143.950  -17.290   36.793
     667  142.607  -12.667   39.371
     668  145.440  -10.340   42.603
     669  154.893   -8.905   38.701
     670  155.654   -9.426   41.824
     671  152.395    0.021   34.154
     672  151.973    3.445   34.611
     673  158.328   -4.413   35.454
     674  159.134   -3.070   33.532
