#Frame       chi1:120     chi2:120     chi3:120
     393     -67.8564     -70.4900     161.9202
     394     -65.6945     -74.1988     143.0495
     395     -55.0242     -68.9617     173.7978
     396     -61.2969     -65.7139     109.5510
     397     -56.8111     -52.2359     148.2289
     398     -53.1858     -57.0773     152.6212
     399     -58.9241     -78.6438     174.3355
     400     -61.1096     -67.3148     155.8969
     401     -82.8726     -55.1714     152.4383
     402     -70.5753     -46.6156     159.8991
     403     -59.9560     -61.7489     154.3878
     404     -66.9243     -49.8494     167.9636
     405     -71.5239     -50.3426     123.3853
     406     -64.0263     -67.0583     137.4185
     407     -67.0617     -69.5332     133.1640
     408     -71.8504     -34.2542      91.4659
     409     -49.0949     -46.4767     161.7456
     410     -75.4552     -73.0863    -175.6301
     411     -65.5404     -71.1124     148.3026
     412     -65.7635     -55.9416     129.1242
     413     -66.4865     -42.4150     138.6011
     414     -68.0538     -92.1902    -144.1339
     415     -56.1953     -58.0195     157.7440
     416     -46.8881     -70.8321    -177.3659
     417     -57.8880     -46.3233     151.1590
     418     -74.2407     -72.9345     -92.5602
     419     -70.9651     -61.9795     -46.9606
     420     -75.5770     -66.8681     -25.0358
     421     -97.2582     -56.8106     -25.7672
     422     -78.2441     -74.3341     -14.1069
     423     -66.5349     -48.2387     -15.0762
     424     -74.0180     -61.2421     -28.8033
     425     -65.1932     -67.7082      22.0508
     426     -72.1179     -61.8446     -36.5698
     427     -61.2158     -75.9585       1.6564
     428     -69.2644     -54.7045     -23.7740
     429     -76.4312     -57.9976     -51.9692
     430     -83.8286     -39.3659     -81.2908
     431     -65.2486     -62.5890     -43.1337
     432     -71.0407     -59.5799     -22.0434
     433     -71.0424     -58.8541     -17.7452
     434     -54.6559     -58.0758     -30.7285
     435     -70.3957     -58.1620     -45.5510
     436     -59.7018     -70.4114    -110.5390
     437     -69.1368     -63.7452     -50.6835
     438     -74.2925     -68.0566     -24.7975
     439     -74.0860     -51.4285     -37.9365
     440     -62.5192     -59.7310     -23.3674
     441     -72.4253     -53.8997     -60.2869
     442     -63.9780     -72.0609       3.7332
     443     -69.8561     -67.3278     -42.5520
     444     -64.9712     -52.6557     -33.4517
     445     -65.0076     -60.7385     -13.4707
     446     -82.6032     -82.2130      39.7159
     447     -68.7201     -81.2169      16.1854
     448     -62.9177     -80.2748      39.6827
     449     -73.1314     -73.4227      46.2709
     450     -75.3824     -82.2974      66.6188
     451     -60.4442     -71.5910     -57.7474
     452     -78.4217     -61.8632     -51.9661
     453     -64.2049     -73.0132      47.5215
     454     -76.2563     -42.1232     -51.0263
     455     -57.3761     -60.1996      10.2474
     456     -78.4877     -60.3372     178.0771
     457     -63.8249     -70.5836    -177.2812
     458     -58.4394     -40.9065     141.4997
     459     -68.1169     -76.8814    -125.7789
     460     -69.6006     -64.3190    -159.7353
     461     -60.5317     -68.4255     160.8386
     462     -67.2557     -67.7851     154.3632
     463     -60.5437     -59.3721     148.4971
     464     -68.4113     -74.7047     -85.2536
     465     -69.2919     -71.3858    -138.0250
     466     -78.9343     -49.3633     120.9924
     467     -68.2734     -67.3137     168.5113
     468     -69.8515     -60.2338     158.6349
     469     -75.4722     -70.7493     156.0610
     470     -63.2804     -90.2773    -153.9455
     471     -66.9315     -83.0297     151.2527
     472     -68.2172     -69.0457     155.3338
     473     -69.7904     -38.8774     135.9486
     474     -60.8882     -51.2782     137.5722
     475     -73.0496     -64.4835     118.0061
     476     -80.3441     -69.8320      89.4055
     477     -69.4523     -62.5613     135.0256
     478     -71.7373     -50.9928     162.8423
     479     -62.4162     -81.0124     165.7594
     480     -71.1215     -47.1302     150.5026
     481     -66.1006     -56.7693     147.2071
     482     -51.2245     -59.8905     170.3787
     483     -67.5829     -63.3796     157.2489
     484     -67.2437     -75.2253     131.4514
     485     -58.3919     -53.0230     162.1247
     486     -67.9556     -68.4631    -158.9081
     487     -74.0853     -75.3635    -161.1814
     488     -69.6893     -65.9903     172.4859
     489     -61.6124     -64.7856     144.4798
     490     -58.5770     -79.0104     165.7134
     491     -99.9220     -77.5664    -149.4535
     492    -106.1412     -70.1659     179.4519
     493     -94.7767     -74.1077    -177.0521
     494    -101.2642     -64.1447    -173.2855
     495     -83.8450     -82.8939    -154.4616
     496     -82.2294     -67.5453     138.3013
     497     -70.6696     -47.1085     102.9278
     498     -69.3152     -47.2226     134.5516
     499     -56.8555     -77.0696     143.8357
     500     -64.0923     -65.5792     129.8527
     501     -52.8759     -51.5030     153.7648
     502     -79.2959     -53.4651     120.9362
     503     -73.2638     -55.5861     119.6009
     504     -66.5399     -85.2888     175.6371
     505     -62.2527     -69.5808    -170.9969
     506     -50.5663     -67.0912     179.0422
     507     -59.9448     -59.0324     153.9872
     508     -76.6091     -60.3638     153.7563
     509     -71.8587     -56.3877     157.7247
     510     -58.8888     -59.8940     173.1574
     511     -65.7743     -80.2653    -173.5927
     512     -75.9043     -62.7013     155.1255
     513     -62.7028     -58.1650     162.1350
     514     -65.7689     -82.6651    -120.5982
     515     -70.9337     -74.6050    -143.2974
     516     -68.8436     -64.2338     173.5019
     517     -76.9406     -66.3333     158.9679
     518     -67.2511     -53.8587     161.9014
     519     -68.7166     -53.9586     126.2609
     520     -66.9815     -71.8639     175.7132
     521     -57.1799     -65.7806     170.9867
     522     -65.2698     -65.7477     148.2080
     523     -68.6073     -64.1534     167.2846
     524     -64.2155     -69.3410     115.5781
     525     -64.2877     -71.8961      88.7164
     526     -75.0689     -65.4086     172.0900
     527     -62.5812     -71.5355     151.7668
     528     -70.4121     -69.1033    -161.7653
     529     -73.2575     -70.2280    -166.6556
     530     -78.7463     -71.6604    -155.6826
     531     -77.4310     -79.6463    -167.9883
     532     -76.0885     -86.8404    -143.4576
     533     -63.9380     -70.0036     136.5449
     534     -64.1512     -72.0963     168.1623
     535     -53.1564     -74.8539     165.0932
     536     -72.2097     -71.9946     155.8734
     537     -62.8871     -83.2560    -174.1802
     538     -70.6995     -52.6866     135.2706
     539     -62.2011     -54.0871     135.3308
     540     -66.0898     -68.2873     134.9230
     541     -72.1311     -61.0207     124.4056
     542     -82.7509     -47.8388     146.9729
     543     -67.6827     -64.1693     153.5250
     544     -51.8694     -55.9152     146.9780
     545     -53.0535     -51.7859     137.1324
     546     -67.1078     -57.8440     157.5435
     547     -60.8225     -67.7259     157.1598
     548     -72.4357     -64.5043     150.8510
     549     -79.2678     -59.1559     163.9365
     550     -71.3311     -71.7472     165.6129
     551     -98.6550     -66.7185    -179.3348
     552     -59.9060     -63.9160     179.6200
     553     -63.8614     -50.6143     129.5224
     554     -70.7535     -56.1254      94.9068
     555     -68.7626     -37.3012     112.3784
     556     -70.6875     -50.3495     151.3906
     557     -75.4426     -53.3722     127.9213
     558    -167.2572      69.0056      83.7027
     559     179.1919      59.2826      94.1916
     560    -169.6864      52.7930      73.8144
     561    -177.6599      52.0366      91.0203
     562    -168.3492      65.9306      77.9627
     563    -164.5378      65.6502      73.0421
     564    -172.3148      52.5912      94.4672
     565    -164.9957      29.4646      75.8417
     566    -170.6395      55.4612     106.6888
     567     176.2057      63.9922     110.2360
     568     178.1712      60.9475      72.8069
     569    -173.2437      55.5676      75.0485
     570    -172.4095      57.6596      84.9296
     571    -174.5248      50.9475      80.8590
     572    -164.6185      44.0187      96.8743
     573     179.0160      52.0692     119.2449
     574    -178.1062      61.7465      72.1787
     575    -170.4095      49.3600      81.6252
     576    -166.8546      49.3372      73.4091
     577    -174.6060      50.5749      97.9851
     578    -172.8166      56.5489     102.3529
     579    -175.1693      52.5113     116.0952
     580     169.1995      70.9159     116.4898
     581    -156.0565      64.9886      14.0435
     582    -162.8225      72.4783      29.2738
     583    -167.5073      71.7246      33.9733
     584    -164.7016      53.1730      65.1963
     585    -157.0287      35.4207      94.9649
     586    -170.5639      43.5673      78.0419
     587     178.2580      61.8648      81.0980
     588    -179.9150      58.8017     102.2767
     589    -169.3193      49.6969      77.7950
     590    -165.6312      41.0181      85.0235
     591    -167.6554      44.0190      90.4964
     592    -158.3321      44.2089      77.1649
     593    -170.2570      41.1603     121.1805
     594    -177.7860      54.9044      84.9320
     595    -160.3251      56.4229     108.2520
     596    -174.3611      53.2009     101.4143
     597    -154.2047      45.9418      60.8223
     598    -157.4724      32.4899     100.8933
     599    -173.9846      48.2284      82.6406
     600    -158.6779      75.7772     121.6771
     601    -151.6306      77.8550    -126.6961
     602    -170.7009      52.5996     -80.2616
     603    -177.7370      56.5316     -72.5200
     604    -177.0743      81.1585     -79.2906
     605    -165.0148      51.2436     -82.8747
     606    -172.0000      49.0938     -75.2558
     607    -176.6141      61.6221     -76.9242
     608    -171.1683      57.3637     -93.4476
     609    -176.8140      55.1873     -78.5026
     610    -172.1987      48.7245     -60.5750
     611    -173.0877      50.8649     -93.2216
     612    -168.3756      56.8144    -115.7938
     613    -174.1868      49.7920     -84.7248
     614    -167.6102      46.1214     -69.4315
     615    -162.9132      47.1210     -86.7004
